Sigla;Código;Município;1991;2000;2010
BA;2903508;Belo Campo;45.29;25.68;19.67
BA;2903607;Biritinga;53.42;42.55;33.74
BA;2903706;Boa Nova;67.37;55.64;24.98
BA;2903805;Boa Vista do Tupim;91.95;48;33.48
BA;2903904;Bom Jesus da Lapa;37.97;31.45;17.6
BA;2903953;Bom Jesus da Serra;55.61;48.3;28.28
BA;2904001;Boninal;44.8;39.38;23.73
BA;2904050;Bonito;35.42;26.4;18.47
BA;2904100;Boquira;62.58;41.87;27.3
BA;2904209;Botuporã;72.71;57.92;27.63
BA;2904308;Brejões;43.44;16.2;20.13
BA;2904407;Brejolândia;49.13;45.19;29.92
BA;2904506;Brotas de Macaúbas;62.34;54.68;31.82
BA;2904605;Brumado;35.48;22.2;9.57
BA;2904704;Buerarema;54.35;28.69;13.31
BA;2904753;Buritirama;70.49;65.59;37.03
BA;2904803;Caatiba;58.42;27.58;7.11
BA;2904852;Cabaceiras do Paraguaçu;68.79;43.44;31.55
BA;2904902;Cachoeira;46.92;26.17;16.73
BA;2905008;Caculé;54.09;29.81;10.19
BA;2905107;Caém;58.3;49.67;29.29
BA;2905156;Caetanos;58.63;44.39;27.58
BA;2905206;Caetité;56.05;39.44;17.47
BA;2905305;Cafarnaum;58;39.23;24.09
BA;2905404;Cairu;28.64;28.91;16.03
BA;2905503;Caldeirão Grande;46.23;50.92;35.53
BA;2905602;Camacan;54.67;26.5;16.75
BA;2905701;Camaçari;16.67;14.36;6.01
BA;2905800;Camamu;55.33;45.82;21.36
BA;2905909;Campo Alegre de Lourdes;76.7;39.03;40.51
BA;2906006;Campo Formoso;59.58;41.58;24.59
BA;2906105;Canápolis;58.88;40.82;27.31
BA;2906204;Canarana;43.37;37.77;20.18
BA;2906303;Canavieiras;50.31;21.93;12.62
BA;2906402;Candeal;49.79;38.04;13.4
BA;2906501;Candeias;24.19;17.38;7.22
BA;2906600;Candiba;57.71;39.6;13.43
BA;2906709;Cândido Sales;36.93;25.14;17.2
BA;2906808;Cansanção;63.74;55.37;32.99
BA;2906824;Canudos;51.38;40.37;25.03
BA;2906857;Capela do Alto Alegre;26.5;26.14;15.56
BA;2906873;Capim Grosso;40.48;26.77;11.44
BA;2906899;Caraíbas;66.44;42.83;17.51
BA;2906907;Caravelas;41.55;23.28;11.82
BA;2907004;Cardeal da Silva;64.32;44.71;24.34
BA;2907103;Carinhanha;54.97;46.58;24.67
BA;2907202;Casa Nova;51.82;30.89;20.67
BA;2907301;Castro Alves;49.68;37.16;17.02
BA;2907400;Catolândia;59.94;44.78;25.16
BA;2907509;Catu;31.51;20.72;9.38
BA;2907558;Caturama;70.27;44.05;24.69
BA;2907608;Central;55.62;37.25;28.78
BA;2907707;Chorrochó;68.71;48.74;28.93
BA;2907806;Cícero Dantas;46.02;32.21;17.47
BA;2907905;Cipó;48.4;36.87;17.9
BA;2908002;Coaraci;52.3;28.31;11.34
BA;2908101;Cocos;53.16;40.37;28.93
BA;2908200;Conceição da Feira;40.93;24.25;15.33
BA;2908309;Conceição do Almeida;46.17;24.79;20.88
BA;2908408;Conceição do Coité;47.67;31.24;15.15
BA;2908507;Conceição do Jacuípe;34.89;16.76;8.96
BA;2908606;Conde;53.81;44.21;34.26
BA;2908705;Condeúba;60.79;36.29;21.84
BA;2908804;Contendas do Sincorá;46.05;28.64;17.18
BA;2908903;Coração de Maria;46.69;35.42;22.92
BA;2909000;Cordeiros;53.28;30.68;17.29
BA;2909109;Coribe;35.58;53.12;32.28
BA;2909208;Coronel João Sá;43.74;50.7;19.32
BA;2909307;Correntina;49.3;36.79;30.51
BA;2909406;Cotegipe;56.08;38.84;28.55
BA;2909505;Cravolândia;65.76;40.15;20.98
