Sigla	Código	Município	1991	2000	2010
BA	2900306	Acajutiba	77.33	65.46	48.78
BA	2900355	Adustina	73.81	62.36	49.98
BA	2900405	Água Fria	88.11	74.62	50.3
BA	2900504	Érico Cardoso	83	67.89	36.75
BA	2900603	Aiquara	76.03	59.49	27.11
BA	2900702	Alagoinhas	52.85	38.4	19.42
BA	2900801	Alcobaça	75.4	46.95	32.69
BA	2900900	Almadina	88.46	66.24	38.08
BA	2901007	Amargosa	75.9	48.38	33.42
BA	2901106	Amélia Rodrigues	69.41	47.81	28.19
BA	2901155	América Dourada	81.78	70.32	52.57
BA	2901205	Anagé	87.28	69.9	39.06
BA	2901304	Andaraí	83.46	71.79	53.89
BA	2901353	Andorinha	84.35	64.67	39.45
BA	2901403	Angical	76.59	65.1	41.72
BA	2901502	Anguera	83.76	66.17	38.32
BA	2901601	Antas	74.24	54.95	38.43
BA	2901700	Antônio Cardoso	89.59	66.23	37.58
BA	2901809	Antônio Gonçalves	82.75	66.97	35.74
BA	2901908	Aporá	79.15	66.29	55.3
BA	2901957	Apuarema	81.16	71.34	39.49
BA	2902005	Aracatu	89.47	64.38	28.51
BA	2902054	Araças	82.83	74.97	45.82
BA	2902104	Araci	87.44	75.92	52.7
BA	2902203	Aramari	76.36	61.72	39.06
BA	2902252	Arataca	87.87	67.99	38.64
BA	2902302	Aratuípe	78.12	68.74	39.85
BA	2902401	Aurelino Leal	79.8	75.02	36.6
BA	2902500	Baianópolis	83.45	71.18	49.22
BA	2902609	Baixa Grande	85.38	65.82	45.3
BA	2902658	Banzaê	80.36	67.89	39.9
BA	2902708	Barra	85.05	75.29	59.44
BA	2902807	Barra da Estiva	82.27	54.65	41.63
BA	2902906	Barra do Choça	78.65	61.95	31.84
BA	2903003	Barra do Mendes	76.09	59.82	42.11
BA	2903102	Barra do Rocha	87.18	70.07	34.9
BA	2903201	Barreiras	47.64	33.91	16.27
BA	2903235	Barro Alto	79.39	61.33	44.24
BA	2903276	Barrocas	81.93	67.4	32.83
BA	2903300	Governador Lomanto Júnior	90.65	59.62	34.48
BA	2903409	Belmonte	78.3	55.2	35.61
BA	2903508	Belo Campo	73.81	52.39	39.69
BA	2903607	Biritinga	79.28	71.02	52.84
BA	2903706	Boa Nova	87.26	77.93	47.41
BA	2903805	Boa Vista do Tupim	96.31	74.08	54.52
BA	2903904	Bom Jesus da Lapa	68.23	56.28	35.74
BA	2903953	Bom Jesus da Serra	81.99	74.81	46
BA	2904001	Boninal	77.2	61.19	40.34
BA	2904050	Bonito	76.39	59.17	43.9
BA	2904100	Boquira	85.18	63.55	39.88
BA	2904209	Botuporã	86.82	75.49	44.86
BA	2904308	Brejões	78.05	52.14	39.47
BA	2904407	Brejolândia	80.6	69.85	48.72
BA	2904506	Brotas de Macaúbas	81.65	74.6	45.57
BA	2904605	Brumado	63.49	45.61	25.36
BA	2904704	Buerarema	81.56	61.36	34.68
BA	2904753	Buritirama	89.41	80.53	56.15
BA	2904803	Caatiba	85.47	73.25	24.31
BA	2904852	Cabaceiras do Paraguaçu	90.85	70.32	51.63
BA	2904902	Cachoeira	75.63	51.52	33.83
BA	2905008	Caculé	75.29	54.28	24.3
BA	2905107	Caém	85.84	70.39	49.42
BA	2905156	Caetanos	84.49	67.87	43.74
BA	2905206	Caetité	78.63	61.51	32.54
BA	2905305	Cafarnaum	82.99	63.09	47.13
BA	2905404	Cairu	69.9	59.95	32.54
BA	2905503	Caldeirão Grande	81.21	73.9	52.34
BA	2905602	Camacan	78.39	58.12	38.74
BA	2905701	Camaçari	40.88	38.73	16.39
BA	2905800	Camamu	82.72	69.84	46.39
BA	2905909	Campo Alegre de Lourdes	90.53	58.55	58.96
BA	2906006	Campo Formoso	83.55	65.17	46.53
BA	2906105	Canápolis	86.64	66.87	47.06
BA	2906204	Canarana	74.74	59.96	42.2
BA	2906303	Canavieiras	75.75	52.13	30.85
BA	2906402	Candeal	83.71	66.61	36.55
BA	2906501	Candeias	46.71	39.95	17.44
BA	2906600	Candiba	85.69	65.14	29.91
BA	2906709	Cândido Sales	71.34	50.93	39.5
BA	2906808	Cansanção	85.72	76.98	53.28
BA	2906824	Canudos	81.23	67.67	43.76
BA	2906857	Capela do Alto Alegre	70.58	54.26	35.22
BA	2906873	Capim Grosso	72.71	53.99	28.06
BA	2906899	Caraíbas	85.05	69.27	36.8
BA	2906907	Caravelas	69.38	54.53	34.46
BA	2907004	Cardeal da Silva	85.64	72.67	54.04
BA	2907103	Carinhanha	84.27	70.22	47.47
BA	2907202	Casa Nova	81.36	59.66	37.38
BA	2907301	Castro Alves	79.18	64	34.72
BA	2907400	Catolândia	80.54	63.19	42.42
BA	2907509	Catu	57.57	42.97	22.17
BA	2907558	Caturama	88.95	70.82	42.42
BA	2907608	Central	81.94	64.02	46.19
BA	2907707	Chorrochó	90.05	73.08	46.56
BA	2907806	Cícero Dantas	77.2	58.63	36.83
BA	2907905	Cipó	75.65	60.91	38.16
BA	2908002	Coaraci	76.25	61.01	29.86
BA	2908101	Cocos	75.79	64.29	44.13
BA	2908200	Conceição da Feira	69.07	54.6	32.84
BA	2908309	Conceição do Almeida	77.78	55.53	41.69
BA	2908408	Conceição do Coité	80.24	60.7	32.42
BA	2908507	Conceição do Jacuípe	64.6	43.93	21.54
BA	2908606	Conde	83.89	66.82	56.43
BA	2908705	Condeúba	84.6	61.9	40.3
BA	2908804	Contendas do Sincorá	76.08	60.55	35.43
BA	2908903	Coração de Maria	78.24	64.07	42.58
BA	2909000	Cordeiros	80	59.41	33.98
BA	2909109	Coribe	66.09	73.72	48.62
BA	2909208	Coronel João Sá	80.08	75.43	42.31
BA	2909307	Correntina	77.74	59.02	43.17
BA	2909406	Cotegipe	81.68	66.8	49.02
BA	2909505	Cravolândia	86.51	68.05	42.52
BA	2909604	Crisópolis	73.58	65.74	51.72
BA	2909703	Cristópolis	74.17	67.21	46.07
BA	2909802	Cruz das Almas	63.02	38.93	24.93
BA	2909901	Curaçá	72.61	60.54	43.82
